CRASH,CRASH_COST,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,SEX,EDUCATION,JOB,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,URBANICITY
1,8840.683568,0,44,2,15,16352.02931,No,134163.6382,Yes,F,High School,Home Maker,36.79485539,Private,10520,1,SUV,no,7838,1,No,1,1,Highly Urban/ Urban
0,0,0,56,0,16,44760.17356,No,164851.8657,Yes,M,Bachelors,Manager,30.08337796,Private,21770,13,Minivan,yes,0,0,No,0,6,Highly Urban/ Urban
1,2117,1,45,1,14,63952.17766,No,196367.8299,Yes,F,Masters,Lawyer,49.57689468,Private,32340,6,Van,no,27877,2,Yes,0,13,Highly Urban/ Urban
1,866,0,33,4,12,20821.8463,No,76022.38853,Yes,F,High School,Home Maker,45.90771277,Private,6880,13,SUV,no,7896,3,No,0,1,Highly Urban/ Urban
0,0,0,32,3,14,54968.06115,No,146784.1288,Yes,F,High School,Professional,20.08315029,Private,10040,4,SUV,no,0,0,Yes,0,8,Highly Urban/ Urban
1,7786,0,34,0,8,14193.64818,No,87033.78698,No,F,<High School,Clerical,13.36723849,Private,2920,4,Sports Car,no,24767,3,Yes,2,10,Highly Urban/ Urban
0,0,1,38,4,12,2149.054822,No,72888.59869,Yes,F,<High School,Home Maker,35.06476339,Private,22690,10,Pickup,no,0,0,No,2,1,Highly Urban/ Urban
1,4148,2,43,3,11,137102.7342,Yes,0,No,F,Masters,Manager,28.80035701,Private,19510,1,Sports Car,no,8890,3,No,0,15,Highly Urban/ Urban
0,0,0,46,0,10,79538.16377,No,0,No,F,Bachelors,Manager,12.92016393,Private,14050,3,Minivan,no,0,0,Yes,2,11,Highly Urban/ Urban
0,0,0,45,1,11,185836.4992,No,509114.6502,Yes,F,PhD,Lawyer,28.17554557,Private,10250,1,SUV,no,4307,3,No,6,20,Highly Urban/ Urban
0,0,0,63,0,9,74426.19439,No,0,No,F,PhD,Doctor,11.15301472,Private,27600,1,SUV,no,0,0,No,0,18,Highly Urban/ Urban
0,0,0,44,0,9,74721.8442,No,231033.8849,Yes,F,Bachelors,Professional,8.965940108,Private,23640,6,Minivan,no,0,0,No,0,1,Highly Urban/ Urban
1,2371,1,45,2,11,102393.1799,Yes,0,No,M,Bachelors,Professional,24.86796984,Private,1500,1,Minivan,yes,0,0,No,2,11,Highly Urban/ Urban
1,1354,0,48,0,12,31773.10396,No,165090.2964,Yes,M,High School,Clerical,14.45932328,Commercial,9640,13,Pickup,no,1212,1,No,4,1,Highly Urban/ Urban
0,0,0,49,0,0,0,No,159389.1276,Yes,F,Masters,Professional,41.9232013,Private,6400,10,SUV,no,9115,1,No,6,14,Highly Urban/ Urban
0,0,0,44,2,15,139330.446,Yes,316899.606,No,F,High School,Blue Collar,35.26603497,Commercial,22050,10,Sports Car,no,0,0,No,0,1,Highly Rural
0,0,0,50,0,13,163295.6399,No,447616.2869,No,F,PhD,Lawyer,42.13917325,Private,22830,1,Minivan,no,0,0,No,0,14,Highly Rural
0,0,0,30,1,10,17454.57266,Yes,140978.2651,No,F,<High School,Blue Collar,49.52604518,Private,12380,13,Minivan,no,0,0,No,0,6,Highly Rural
1,2425,0,53,0,6,38035.58347,No,153380.5523,Yes,F,High School,Blue Collar,32.18028505,Commercial,13140,1,SUV,no,0,0,No,4,1,Highly Urban/ Urban
0,0,0,53,0,13,41199.06904,No,150932.6587,No,F,Bachelors,Manager,21.49190132,Private,15360,1,SUV,no,0,0,No,0,8,Highly Urban/ Urban
0,0,0,29,1,10,38042.37399,Yes,202967.2033,No,M,High School,Professional,14.87358013,Private,15160,6,Minivan,no,0,0,No,0,1,Highly Urban/ Urban
0,0,0,55,0,7,45787.3631,No,173196.0412,Yes,F,Masters,Lawyer,5,Private,19380,6,Minivan,no,0,0,No,0,13,Highly Urban/ Urban
0,0,0,34,0,11,51565.46081,No,0,No,M,Masters,Lawyer,36.45104575,Private,18110,1,Van,yes,759,2,No,3,15,Highly Urban/ Urban
1,5711,0,34,3,0,0,No,66358.29913,Yes,F,High School,Home Maker,24.52000126,Private,11740,9,SUV,no,1800,2,No,2,1,Highly Urban/ Urban
0,0,0,36,0,11,105384.2667,No,267508.9624,Yes,M,Masters,Professional,23.9167612,Private,13800,7,Minivan,yes,31695,3,Yes,4,17,Highly Urban/ Urban
1,13105.32763,0,41,0,10,66265.3521,No,159276.147,Yes,M,Masters,Lawyer,58.54745552,Private,12230,4,Minivan,yes,0,0,No,1,9,Highly Urban/ Urban
0,0,0,42,0,9,76225.78221,No,217920.4895,Yes,M,Bachelors,Blue Collar,17.96204147,Commercial,23390,13,Panel Truck,yes,0,0,No,0,14,Highly Urban/ Urban
0,0,1,38,3,16,7527.931959,No,113808.7617,Yes,M,<High School,Clerical,25.5272974,Private,8080,1,Pickup,yes,0,0,No,0,8,Highly Rural
1,7838,0,33,4,0,0,Yes,0,No,M,High School,Student,13.66285957,Commercial,15090,1,Minivan,yes,1631,1,No,2,5,Highly Urban/ Urban
0,0,1,42,1,9,32796.57088,No,160661.4012,Yes,F,Masters,Lawyer,63.21937724,Private,21690,1,Minivan,no,0,0,No,2,14,Highly Urban/ Urban
1,5125,0,47,0,11,44705.21281,No,217885.0948,Yes,F,Bachelors,Professional,50.0889763,Private,12840,1,SUV,no,1533,2,No,0,10,Highly Urban/ Urban
0,0,0,52,0,9,68992.00528,No,216986.0757,No,F,Bachelors,Blue Collar,35.6494128,Commercial,15120,1,Minivan,no,0,0,No,3,10,Highly Rural
0,0,0,43,0,11,132560.8502,No,314432.7575,No,M,Masters,Professional,8.183487702,Commercial,30150,16,Panel Truck,no,12294,1,No,0,1,Highly Urban/ Urban
0,0,0,66,1,17,96829.72411,No,325825.7278,Yes,M,Masters,Professional,23.41662386,Private,11180,7,SUV,no,0,0,No,0,16,Highly Urban/ Urban
1,2143,0,52,0,7,64013.81632,No,244862.5221,Yes,M,<High School,Blue Collar,32.71723445,Commercial,7900,4,Pickup,yes,8882,3,No,1,5,Highly Urban/ Urban
0,0,1,61,2,17,41857.20309,No,169015.1568,Yes,F,Masters,Manager,34.86158222,Private,20870,1,Sports Car,no,0,0,No,0,21,Highly Urban/ Urban
1,2114,0,41,1,8,126468.265,Yes,0,No,F,Masters,Manager,34.49456294,Commercial,32690,3,Pickup,no,0,0,No,2,18,Highly Urban/ Urban
0,0,3,40,3,9,75516.3361,No,247672.7975,Yes,F,High School,Blue Collar,52.87912779,Commercial,13050,5,Sports Car,no,0,0,Yes,0,6,Highly Rural
0,0,0,52,0,16,76953.90227,No,249289.5661,No,M,Bachelors,Professional,43.71954121,Private,19540,6,Minivan,yes,0,0,Yes,0,11,Highly Urban/ Urban
0,0,0,58,1,8,150352.4622,No,421665.242,Yes,F,Masters,Manager,21.01265924,Private,24240,6,Pickup,no,0,0,No,0,17,Highly Urban/ Urban
1,8671,1,38,1,12,37579.71165,No,173495.3221,Yes,F,<High School,Clerical,35.81813031,Private,5260,7,SUV,no,867,2,No,0,1,Highly Urban/ Urban
1,6287,0,41,2,15,23344.16706,No,147172.1553,Yes,M,High School,Blue Collar,9.92626961,Private,7930,1,Pickup,no,0,0,No,1,1,Highly Urban/ Urban
0,0,0,37,0,16,43289.7913,No,158771.3724,Yes,F,Bachelors,Blue Collar,29.45506812,Private,23640,1,SUV,no,0,0,No,0,10,Highly Urban/ Urban
0,0,0,48,0,10,48737.21225,No,220263.7848,Yes,M,Bachelors,Manager,23.88800234,Private,11220,9,Pickup,yes,0,0,No,1,1,Highly Urban/ Urban
0,0,0,47,0,12,64259.48256,No,202031.3889,Yes,M,High School,Clerical,25.57420366,Private,25100,18,Minivan,no,9526,4,No,3,9,Highly Urban/ Urban
0,0,0,41,0,6,12541.07726,No,0,No,M,<High School,Clerical,5,Private,7500,1,Minivan,yes,0,0,No,0,1,Highly Rural
0,0,0,46,0,10,104990.1114,No,306539.6476,No,F,Bachelors,Professional,39.94194877,Private,16080,13,SUV,no,0,0,No,0,7,Highly Urban/ Urban
0,0,0,49,0,6,89947.99484,No,0,No,F,Bachelors,Professional,36.9214354,Private,18160,7,SUV,no,0,0,No,4,9,Highly Urban/ Urban
0,0,0,62,0,6,107734.3505,No,0,No,F,PhD,Lawyer,53.90578607,Private,18470,3,SUV,no,0,0,No,0,15,Highly Urban/ Urban
0,0,0,36,2,12,25282.17597,Yes,0,No,F,High School,Clerical,37.64276345,Private,11160,1,SUV,no,0,0,No,0,1,Highly Rural
0,0,0,47,0,11,18548.73653,No,116136.2784,Yes,M,Masters,Lawyer,23.98627811,Private,12800,7,Minivan,no,0,0,No,0,14,Highly Urban/ Urban
0,0,0,51,0,9,50165.6137,No,187296.8643,No,M,High School,Blue Collar,32.44100984,Commercial,11620,1,Pickup,no,50701,3,Yes,0,1,Highly Urban/ Urban
0,0,0,46,0,8,73871.57578,No,245877.5013,Yes,F,Masters,Lawyer,42.80273848,Private,20240,4,Sports Car,no,0,0,No,0,16,Highly Rural
0,0,0,50,0,14,73343.03733,No,254599.8252,Yes,F,High School,Manager,59.82551002,Private,20010,1,Minivan,no,4179,2,No,4,8,Highly Urban/ Urban
1,6158,0,43,2,15,49848.95817,Yes,0,No,F,Masters,Lawyer,35.02097056,Private,13130,1,SUV,no,3622,3,No,4,20,Highly Urban/ Urban
1,4887,1,39,1,16,12054.36967,No,0,Yes,F,<High School,Student,28.06624321,Commercial,15760,4,Pickup,no,1738,2,Yes,4,1,Highly Urban/ Urban
0,0,0,43,3,14,48184.26337,No,209188.2652,Yes,F,High School,Blue Collar,50.49990419,Commercial,14530,12,Sports Car,no,6891,2,No,5,1,Highly Urban/ Urban
1,5147,0,60,3,18,78935.92347,No,235670.3318,Yes,F,Masters,Lawyer,39.87329963,Private,20350,6,SUV,no,0,0,No,0,15,Highly Urban/ Urban
0,0,0,55,0,0,0,No,0,No,M,<High School,Student,33.14790796,Private,7000,4,Pickup,no,0,0,No,0,1,Highly Rural
0,0,0,40,0,10,78913.72634,No,229054.5325,No,F,Bachelors,Manager,36.40559138,Private,5500,10,SUV,no,6803,2,No,6,10,Highly Urban/ Urban
0,0,0,39,0,6,77125.02002,No,210839.9319,Yes,F,Bachelors,Clerical,48.96256934,Private,9570,7,Sports Car,no,0,0,No,1,13,Highly Urban/ Urban
0,0,0,38,0,14,25835.16735,No,109685.3918,Yes,M,High School,Clerical,28.7139825,Private,8490,6,Pickup,yes,0,0,No,1,12,Highly Urban/ Urban
0,0,0,42,0,12,47659.98041,No,180205.5414,Yes,M,Masters,Professional,31.29925015,Private,11940,7,Pickup,yes,974,2,No,6,18,Highly Urban/ Urban
0,0,0,42,0,10,123142.9316,No,306368.2626,No,F,Masters,Manager,16.19234791,Private,24930,4,Minivan,no,0,0,No,3,14,Highly Urban/ Urban
0,0,0,49,0,8,22059.27854,No,123924.3619,Yes,F,<High School,Clerical,24.2988889,Commercial,21990,11,Pickup,no,0,0,No,1,1,Highly Urban/ Urban
0,0,1,36,1,12,50749.5356,Yes,0,No,F,Masters,Manager,25.9345571,Private,10170,7,SUV,no,5877,3,No,7,14,Highly Urban/ Urban
0,0,0,34,1,10,23570.52302,Yes,0,No,M,High School,Clerical,35.147684,Commercial,12180,7,Pickup,yes,0,0,No,0,7,Highly Urban/ Urban
0,0,0,49,0,0,0,No,79912.82287,Yes,F,PhD,Home Maker,28.51518502,Private,18110,7,SUV,no,0,0,No,1,1,Highly Urban/ Urban
0,0,0,52,0,12,35630.75522,No,155971.688,Yes,M,High School,Clerical,39.11602322,Private,6040,10,Minivan,yes,0,0,No,0,1,Highly Urban/ Urban
0,0,0,55,0,14,55408.83241,No,162236.8618,Yes,M,Bachelors,Blue Collar,44.87779686,Commercial,27890,4,Panel Truck,no,0,0,No,0,14,Highly Rural
0,0,0,40,4,15,48066.65733,Yes,186025.3148,No,F,Bachelors,Clerical,21.44176508,Private,18120,8,Minivan,no,0,0,No,0,8,Highly Urban/ Urban
0,0,0,45,2,12,64866.95787,No,210630.8786,Yes,F,Masters,Lawyer,20.91153361,Private,12490,1,SUV,no,0,0,No,0,10,Highly Urban/ Urban
0,0,0,80,2,23,97715.97312,No,389344.4454,Yes,M,Bachelors,Professional,14.49824113,Private,15920,13,Minivan,yes,0,0,No,2,10,Highly Urban/ Urban
0,0,0,48,0,10,39613.2462,No,159534.2374,Yes,M,High School,Blue Collar,48.43368274,Commercial,8460,10,Pickup,yes,7437,2,No,6,1,Highly Urban/ Urban
0,0,0,40,0,11,49780.04539,No,0,No,F,<High School,Clerical,52.31867158,Private,10500,6,Sports Car,no,0,0,No,0,1,Highly Rural
0,0,0,45,0,11,60845.01545,No,0,No,F,Bachelors,Manager,31.48185786,Private,24260,4,Minivan,no,0,0,No,0,18,Highly Urban/ Urban
1,6087,0,42,0,12,136343.7947,No,0,No,F,PhD,Doctor,45.25904589,Private,13160,1,Sports Car,no,0,0,No,0,17,Highly Urban/ Urban
0,0,0,36,0,7,70313.39302,No,211506.2952,Yes,F,Bachelors,Professional,55.31984591,Private,14960,6,Minivan,no,7650,3,No,5,4,Highly Urban/ Urban
0,0,0,45,3,15,23773.03765,Yes,0,No,F,High School,Home Maker,8.984425864,Commercial,34510,7,Van,no,0,0,No,0,1,Highly Rural
0,0,0,52,0,11,115713.1043,No,327167.0407,No,F,Bachelors,Professional,28.39103956,Private,21660,6,Sports Car,no,0,0,No,0,11,Highly Rural
0,0,0,41,0,8,55363.53714,No,0,No,M,High School,Clerical,16.8973851,Commercial,31390,1,Panel Truck,yes,0,0,No,3,1,Highly Rural
0,0,0,36,0,14,27693.23803,No,130324.0799,Yes,F,<High School,Clerical,36.6696728,Private,11300,10,Sports Car,no,19385,1,No,4,7,Highly Urban/ Urban
0,0,0,56,0,0,0,No,103058.4271,Yes,F,Bachelors,Home Maker,28.78950467,Private,27890,13,SUV,no,25147,2,No,0,9,Highly Urban/ Urban
0,0,1,53,1,0,0,No,0,Yes,F,<High School,Student,34.21803765,Private,1500,10,Sports Car,no,1175,3,No,2,7,Highly Rural
1,3894,0,39,0,12,32936.11043,No,169721.4796,No,F,High School,Clerical,12.40616516,Private,1500,6,SUV,no,0,0,No,0,7,Highly Urban/ Urban
0,0,0,38,0,11,33151.05452,No,184851.7968,Yes,F,Bachelors,Professional,30.61083785,Private,11530,13,SUV,no,0,0,No,0,9,Highly Rural
1,2659,1,45,3,0,0,Yes,0,No,M,High School,Home Maker,36.22025164,Private,16510,4,Minivan,no,17445,3,Yes,0,1,Highly Urban/ Urban
0,0,0,46,0,14,24574.84852,No,176282.3455,Yes,F,High School,Home Maker,72.77913929,Private,8560,10,Sports Car,no,0,0,No,0,9,Highly Rural
0,0,0,43,2,16,32545.94945,No,200890.563,Yes,M,<High School,Clerical,49.21349874,Private,5800,10,Minivan,yes,0,0,No,1,5,Highly Urban/ Urban
0,0,1,54,1,0,0,Yes,0,No,F,Bachelors,Home Maker,21.26547537,Private,18820,6,SUV,no,5537,1,No,6,9,Highly Urban/ Urban
0,0,0,61,0,10,58211.97706,No,226637.5962,Yes,F,<High School,Blue Collar,36.91814263,Private,13420,1,Sports Car,no,3573,3,No,3,1,Highly Rural
1,6693,0,53,0,15,84345.18012,No,264549.4956,Yes,F,Bachelors,Manager,35.8243038,Private,9930,4,SUV,no,0,0,No,3,5,Highly Urban/ Urban
0,0,0,54,0,15,107808.4,No,278940.1697,Yes,F,Bachelors,Manager,45.43232741,Commercial,27020,7,Pickup,no,1780,3,No,0,6,Highly Urban/ Urban
0,0,0,39,2,12,59684.98779,No,197088.6854,Yes,M,High School,Blue Collar,42.07385528,Commercial,7470,7,Pickup,no,0,0,No,0,1,Highly Rural
0,0,0,38,0,12,90646.77516,No,251628.7551,Yes,F,Masters,Lawyer,37.78091412,Private,13740,4,Minivan,no,8450,1,No,0,15,Highly Rural
1,4380,0,42,0,10,43173.63322,No,208811.157,No,M,<High School,Blue Collar,48.4305554,Commercial,10020,13,Pickup,yes,0,0,No,0,1,Highly Urban/ Urban
1,1826,0,31,2,14,30652.9423,Yes,0,No,F,High School,Clerical,41.19071361,Private,12930,13,Sports Car,no,35666,2,Yes,0,7,Highly Urban/ Urban
0,0,0,41,2,0,0,Yes,54130.21516,No,F,Masters,Home Maker,17.54920171,Private,32090,6,Minivan,no,0,0,No,0,17,Highly Rural
0,0,0,49,0,13,59147.77361,No,162427.784,Yes,F,High School,Professional,18.35147418,Private,12310,1,SUV,no,8948,1,No,0,1,Highly Urban/ Urban
0,0,0,47,0,10,81898.57335,No,232928.3299,No,M,High School,Professional,24.55379028,Private,14390,1,Minivan,yes,0,0,No,0,1,Highly Urban/ Urban
0,0,0,53,0,15,114087.6818,No,306745.2318,Yes,F,High School,Manager,25.45792738,Private,22920,10,Pickup,no,0,0,No,0,8,Highly Urban/ Urban
0,0,0,51,0,13,80620.84374,No,256151.9136,Yes,F,High School,Professional,26.86514366,Private,25700,1,Van,no,0,0,No,0,1,Highly Urban/ Urban
0,0,0,51,1,12,94327.99097,No,327650.6413,Yes,F,Masters,Lawyer,43.63287841,Private,6900,3,Sports Car,no,0,0,No,0,1,Highly Urban/ Urban
1,4257,0,53,0,13,25288.54263,No,108139.1586,Yes,F,<High School,Home Maker,30.84344493,Private,13850,1,SUV,no,0,0,No,0,7,Highly Urban/ Urban
1,4277,0,31,3,14,26112.39632,No,117228.964,Yes,F,<High School,Clerical,57.76677153,Private,14030,3,SUV,no,0,0,No,0,5,Highly Rural
0,0,0,50,0,14,90566.27552,No,295771.4684,No,F,Masters,Lawyer,39.95403403,Private,23260,17,Van,no,0,0,No,0,18,Highly Urban/ Urban
0,0,0,45,2,12,62447.14932,Yes,203472.4943,No,M,High School,Blue Collar,39.07674342,Commercial,12240,7,Minivan,yes,0,0,No,0,1,Highly Urban/ Urban
0,0,0,46,0,5,108700.8457,No,337340.0807,Yes,F,Masters,Manager,38.68921609,Private,12070,3,SUV,no,0,0,No,0,17,Highly Urban/ Urban
0,0,0,47,0,12,94774.17109,No,254197.4714,No,M,High School,Manager,43.16699936,Commercial,21070,1,Van,no,3460,1,No,1,13,Highly Urban/ Urban
0,0,1,43,2,16,72357.25266,No,288114.707,Yes,M,Bachelors,Blue Collar,40.13370127,Commercial,23190,1,Minivan,yes,0,0,No,0,7,Highly Urban/ Urban
0,0,0,39,0,11,19016.16074,No,173711.7627,No,M,High School,Professional,21.51077563,Commercial,10950,13,Pickup,yes,0,0,No,0,8,Highly Rural
0,0,0,49,0,0,0,No,0,No,F,High School,Home Maker,55.49745401,Private,19810,7,Minivan,no,0,0,No,1,1,Highly Rural
1,2738,1,59,1,12,119382.0809,Yes,0,No,F,Masters,Manager,25.97947826,Commercial,24130,13,Pickup,no,0,0,No,0,16,Highly Urban/ Urban
0,0,0,45,2,13,36946.59877,No,165093.7481,Yes,F,High School,Clerical,31.93032998,Private,6200,6,SUV,no,0,0,No,0,1,Highly Urban/ Urban
0,0,0,34,2,13,27580.77494,Yes,0,No,M,<High School,Blue Collar,37.88165443,Commercial,12250,4,Minivan,yes,0,0,No,6,5,Highly Rural
0,0,0,33,1,11,86187.25023,Yes,241285.364,No,M,Bachelors,Professional,81.04672195,Private,13420,17,Minivan,no,0,0,No,1,5,Highly Rural
0,0,0,52,0,12,42255.02105,No,0,No,M,High School,Blue Collar,61.02031007,Commercial,22280,3,Minivan,no,0,0,No,1,12,Highly Urban/ Urban
0,0,0,37,0,11,116042.8944,No,0,No,F,Bachelors,Home Maker,40.13667252,Private,16800,17,SUV,no,0,0,No,3,9,Highly Urban/ Urban
0,0,0,38,0,8,92916.87396,No,0,No,M,Bachelors,Professional,57.08889222,Private,15120,1,Minivan,yes,722,3,No,0,4,Highly Rural
0,0,0,36,3,7,29741.35521,Yes,0,No,F,<High School,Clerical,32.40597054,Private,8070,6,SUV,no,2797,2,No,0,7,Highly Urban/ Urban
0,0,0,51,0,12,3672.688262,No,120376.6053,Yes,M,High School,Student,5,Commercial,11180,10,Pickup,no,0,0,No,0,1,Highly Rural
1,4658,1,39,2,15,61369.9036,Yes,0,No,M,Masters,Manager,6.448685045,Commercial,21770,6,Van,yes,35577,3,Yes,0,12,Highly Urban/ Urban
0,0,0,51,0,13,32159.0975,No,195095.9518,No,F,<High School,Blue Collar,46.26503756,Private,2600,6,SUV,no,0,0,Yes,2,6,Highly Rural
0,0,2,40,3,14,20125.66511,Yes,138443.6137,No,F,<High School,Blue Collar,5.12660788,Private,8260,6,SUV,no,0,0,No,0,1,Highly Urban/ Urban
1,5259,0,54,0,11,44781.81586,No,148676.161,No,F,<High School,Clerical,82.61145278,Private,30260,3,SUV,no,0,0,No,0,9,Highly Urban/ Urban
0,0,0,34,4,14,59828.23281,Yes,0,No,F,Bachelors,Blue Collar,56.29495982,Commercial,10880,10,SUV,no,0,0,No,0,13,Highly Urban/ Urban
0,0,1,41,2,14,74022.36337,No,247883.7428,Yes,F,Masters,Manager,51.35570119,Private,13000,10,Sports Car,no,4418,1,No,0,12,Highly Urban/ Urban
